City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Delhi,12-04-2018,136,93.34,183.36,63.49,115.66,1.77,83.4
Delhi,13-04-2018,135,94.9,117.22,122.28,48.63,1.54,131.74
Delhi,14-04-2018,142,85.7,142.63,104.03,117.31,1.8,114.42
Delhi,15-04-2018,125,98.52,161.45,69.59,107.11,0.72,106.36
Delhi,16-04-2018,130,109.83,192.29,70.28,120.45,1.91,112.65
Delhi,17-04-2018,186,139.47,281.89,85.77,133.76,0.92,65.42
Delhi,18-04-2018,144,105.24,196.74,96.1,97.46,1.97,111.04
Delhi,19-04-2018,150,106.9,200.81,114.54,139.12,1.73,87.52
Delhi,20-04-2018,132,100.26,229.9,71.84,75.07,0.54,101.52
Delhi,21-04-2018,111,63.37,99.52,42.96,73.38,1.85,104.61
Delhi,22-04-2018,151,101.22,248.24,87.17,114.61,1.98,64.74
Delhi,23-04-2018,136,102.95,175.47,71.81,90.69,2.11,107.35
Delhi,24-04-2018,201,151.01,289.6,50.73,109.6,1.1,87.84
Delhi,25-04-2018,140,97.9,177.58,90.69,161.54,1.57,61.5
Delhi,26-04-2018,143,107.78,208.49,77.92,113.55,1.83,88.84
Delhi,27-04-2018,170,101.06,205.34,90.91,108.12,1.85,93.0
Delhi,28-04-2018,122,78.38,161.93,60.89,75.67,1.68,107.34
Delhi,29-04-2018,158,124.61,214.16,95.42,50.75,1.27,38.0
Delhi,30-04-2018,152,116.79,188.21,50.32,99.57,1.97,102.2
Delhi,01-05-2018,198,120.32,303.7,64.81,136.51,2.02,82.2
Delhi,02-05-2018,140,86.31,149.47,79.43,94.81,1.44,115.25
Delhi,03-05-2018,190,132.56,272.83,129.05,116.54,1.13,94.95
Delhi,04-05-2018,97,76.46,97.05,105.12,147.29,1.16,86.67
Delhi,05-05-2018,184,116.24,212.46,112.43,146.55,2.2,90.56
Delhi,06-05-2018,204,148.31,277.97,120.93,117.36,2.0,103.34
Delhi,07-05-2018,168,84.69,175.09,175.57,109.6,1.51,117.7
Delhi,08-05-2018,101,93.17,95.36,86.54,58.94,1.42,72.72
Delhi,09-05-2018,147,106.49,207.32,121.01,85.59,0.64,86.41
Delhi,10-05-2018,118,94.43,144.93,110.82,96.08,1.48,131.73
Delhi,11-05-2018,131,73.49,149.36,110.4,78.93,0.92,85.97
Delhi,12-05-2018,176,105.87,170.07,129.86,111.95,1.6,104.18
Delhi,13-05-2018,128,83.25,132.52,75.02,161.85,2.11,64.15
Delhi,14-05-2018,155,113.97,208.34,73.03,150.03,1.03,52.14
Delhi,15-05-2018,117,86.11,132.04,93.49,111.82,1.64,68.99
Delhi,16-05-2018,176,135.5,243.18,80.93,127.88,2.02,77.75
Delhi,17-05-2018,141,88.83,132.99,93.46,82.64,1.63,121.0
Delhi,18-05-2018,138,98.06,131.32,124.57,148.42,1.26,123.74
Delhi,19-05-2018,173,120.77,260.0,73.55,57.64,1.53,46.87
Delhi,20-05-2018,125,79.88,112.9,77.88,131.88,2.0,81.47
Delhi,21-05-2018,173,109.05,201.83,89.86,119.37,1.65,112.44
Delhi,22-05-2018,174,130.64,270.81,79.79,81.82,1.52,92.37
Delhi,23-05-2018,131,72.35,119.02,37.65,98.24,2.1,132.61
Delhi,24-05-2018,175,108.19,180.81,71.0,70.47,1.78,111.84
Delhi,25-05-2018,127,109.7,215.21,102.68,71.75,0.92,88.31
Delhi,26-05-2018,178,120.14,261.8,121.44,56.77,1.84,90.53
Delhi,27-05-2018,121,79.76,116.47,56.63,127.53,1.99,93.58
Delhi,28-05-2018,107,78.09,143.87,56.52,140.66,0.9,73.85
Delhi,29-05-2018,141,114.94,166.41,86.26,46.0,0.43,118.48
Delhi,30-05-2018,167,110.44,198.04,34.0,159.65,1.0,113.56
Delhi,31-05-2018,127,109.51,209.09,74.38,104.14,1.47,106.36
Delhi,01-06-2018,102,97.68,159.95,34.0,99.45,1.82,88.56
Delhi,02-06-2018,136,77.15,132.87,108.48,46.58,0.87,57.05
Delhi,03-06-2018,129,95.4,139.0,55.02,130.37,1.6,95.1
Delhi,04-06-2018,141,96.61,185.87,115.57,96.76,0.43,85.73
Delhi,05-06-2018,123,76.46,176.95,102.09,124.91,1.41,132.56
Delhi,06-06-2018,161,128.07,210.41,58.09,127.38,1.12,50.17
Delhi,07-06-2018,168,100.23,171.75,47.45,130.8,2.37,64.42
Delhi,08-06-2018,106,66.92,142.23,69.41,71.3,0.43,42.83
Delhi,09-06-2018,156,103.88,233.74,71.63,84.51,1.31,77.05
Delhi,10-06-2018,65,71.26,90.59,82.9,72.4,0.43,38.98
Delhi,11-06-2018,158,106.49,197.27,54.84,117.6,1.05,112.14
Delhi,12-06-2018,156,113.92,224.95,92.91,100.74,0.47,109.81
Delhi,13-06-2018,123,74.34,138.18,80.88,122.82,2.47,78.51
Delhi,14-06-2018,144,110.02,134.73,65.74,124.13,1.14,57.16
Delhi,15-06-2018,120,99.01,203.14,56.45,46.0,1.21,44.4
Delhi,16-06-2018,172,107.19,249.24,69.63,131.27,1.3,64.9
Delhi,17-06-2018,185,128.69,248.0,53.83,119.28,0.75,98.13
Delhi,18-06-2018,126,85.84,132.17,75.71,79.67,1.85,62.82
Delhi,19-06-2018,115,75.68,128.39,76.39,101.24,1.64,130.21
Delhi,20-06-2018,126,72.96,191.72,80.79,87.04,1.78,119.77
Delhi,21-06-2018,133,74.43,168.72,118.41,109.23,0.71,82.52
Delhi,22-06-2018,132,89.21,188.7,70.94,79.61,1.89,70.95
Delhi,23-06-2018,188,97.57,196.08,99.36,105.12,1.83,68.27
Delhi,24-06-2018,115,96.28,163.11,79.99,92.77,1.2,122.46
Delhi,25-06-2018,147,107.29,197.84,68.29,77.78,1.77,66.08
Delhi,26-06-2018,140,91.01,170.58,71.27,96.45,1.46,105.86
Delhi,27-06-2018,171,119.82,244.15,72.78,171.94,0.52,83.04
Delhi,28-06-2018,128,85.46,207.64,81.24,70.18,1.23,100.34
Delhi,29-06-2018,205,145.15,309.34,50.27,83.25,1.08,61.99
Delhi,30-06-2018,136,103.26,153.62,37.62,70.71,1.36,74.18
Delhi,01-07-2018,86,40.61,83.87,63.61,46.0,1.35,51.9
Delhi,02-07-2018,61,36.33,91.13,69.7,82.22,0.43,38.0
Delhi,03-07-2018,98,67.4,146.62,65.89,79.23,0.62,83.73
Delhi,04-07-2018,79,53.28,82.36,51.12,57.57,0.43,38.0
Delhi,05-07-2018,106,72.03,224.28,66.43,88.54,0.45,38.07
Delhi,06-07-2018,99,67.21,89.4,65.09,81.55,0.43,86.47
Delhi,07-07-2018,79,56.29,74.46,66.94,52.88,0.87,81.62
Delhi,08-07-2018,86,40.81,84.55,34.0,46.0,1.1,92.2
Delhi,09-07-2018,64,27.45,115.66,34.0,82.64,1.01,38.0
Delhi,10-07-2018,97,48.82,67.67,37.54,62.84,0.93,57.52
Delhi,11-07-2018,109,74.88,134.29,46.82,58.42,1.15,54.76
Delhi,12-07-2018,112,62.03,150.18,41.2,46.0,2.03,38.46
Delhi,13-07-2018,51,32.84,61.85,34.0,80.09,0.91,60.61
Delhi,14-07-2018,103,61.21,106.27,90.29,68.2,1.35,44.46
Delhi,15-07-2018,91,65.46,141.34,40.4,50.65,1.32,56.55
Delhi,16-07-2018,58,40.07,84.31,51.57,46.0,1.73,137.55
Delhi,17-07-2018,105,60.82,146.48,78.36,89.79,1.12,60.43
Delhi,18-07-2018,109,58.91,150.68,34.0,75.9,0.43,61.48
Delhi,19-07-2018,64,34.89,75.5,34.46,65.41,0.99,73.03
Delhi,20-07-2018,87,64.91,132.07,37.57,46.0,0.97,57.02
Delhi,21-07-2018,94,68.97,137.46,38.84,56.61,1.25,38.0
Delhi,22-07-2018,137,79.41,165.55,42.91,50.51,0.43,38.0
Delhi,23-07-2018,126,78.83,151.42,83.43,46.0,1.47,51.77
Delhi,24-07-2018,41,30.2,57.36,64.09,80.38,0.84,45.77
Delhi,25-07-2018,76,38.99,109.99,71.2,79.2,1.26,38.0
Delhi,26-07-2018,105,68.05,174.78,48.43,70.85,0.99,93.23
Delhi,27-07-2018,76,68.03,84.02,34.0,88.89,0.9,55.18
Delhi,28-07-2018,95,68.05,129.6,34.0,46.0,0.96,88.49
Delhi,29-07-2018,146,134.8,235.47,34.0,46.0,1.18,38.0
Delhi,30-07-2018,99,69.17,122.09,56.24,59.99,1.82,88.96
Delhi,31-07-2018,106,80.46,164.95,48.04,46.0,0.43,40.37
Delhi,01-08-2018,79,68.58,150.39,35.25,71.32,0.99,76.48
Delhi,02-08-2018,51,62.53,115.44,34.0,46.0,0.74,50.37
Delhi,03-08-2018,90,43.19,44.0,90.79,88.45,0.63,56.33
Delhi,04-08-2018,89,64.68,93.94,34.0,46.0,0.43,56.36
Delhi,05-08-2018,84,34.04,91.58,63.7,113.46,1.01,38.0
Delhi,06-08-2018,70,44.76,44.0,40.55,110.38,0.66,38.0
Delhi,07-08-2018,64,39.79,111.23,38.98,46.66,0.43,38.0
Delhi,08-08-2018,133,51.14,112.8,69.92,83.89,0.74,38.0
Delhi,09-08-2018,135,95.79,221.49,77.06,46.0,0.57,38.0
Delhi,10-08-2018,84,22.0,44.0,34.51,79.9,0.43,38.0
Delhi,11-08-2018,106,63.23,58.29,60.48,46.0,0.76,38.0
Delhi,12-08-2018,59,22.0,54.71,49.6,46.0,1.01,56.47
Delhi,13-08-2018,66,40.06,114.36,40.69,46.0,0.45,45.19
Delhi,14-08-2018,103,71.28,163.17,45.61,46.0,0.85,51.15
Delhi,15-08-2018,64,50.79,76.61,34.0,57.87,0.77,62.44
Delhi,16-08-2018,67,27.95,55.7,34.0,89.41,1.24,39.05
Delhi,17-08-2018,62,35.19,50.88,34.0,50.6,0.67,38.0
Delhi,18-08-2018,74,63.09,95.3,63.03,79.59,1.12,52.6
Delhi,19-08-2018,101,34.89,94.96,38.12,46.0,0.56,38.0
Delhi,20-08-2018,64,53.83,66.35,34.0,46.0,1.7,42.3
Delhi,21-08-2018,41,50.41,68.97,34.0,81.12,0.5,64.13
Delhi,22-08-2018,49,36.47,44.0,34.0,46.0,0.43,71.17
Delhi,23-08-2018,85,92.38,130.81,34.0,49.89,0.67,38.0
Delhi,24-08-2018,82,62.18,122.53,41.44,46.0,0.43,38.0
Delhi,25-08-2018,56,22.0,76.65,37.1,90.32,0.43,38.0
Delhi,26-08-2018,94,53.23,95.59,90.0,46.0,1.08,60.95
Delhi,27-08-2018,70,36.26,44.0,54.87,65.0,0.43,38.0
Delhi,28-08-2018,86,66.55,151.64,53.76,77.15,0.43,95.43
Delhi,29-08-2018,58,33.65,114.51,34.0,46.0,0.43,38.0
Delhi,30-08-2018,75,47.21,70.3,34.0,46.0,0.79,53.56
Delhi,31-08-2018,67,59.6,98.88,34.0,46.0,0.43,86.56
Delhi,01-09-2018,81,75.07,158.09,34.0,86.14,1.11,57.66
Delhi,02-09-2018,84,33.74,112.77,34.0,78.0,1.17,38.0
Delhi,03-09-2018,62,51.06,81.42,34.0,50.75,0.43,121.82
Delhi,04-09-2018,55,48.25,51.7,34.0,46.0,0.94,92.01
Delhi,05-09-2018,88,44.68,103.84,69.1,88.89,1.1,46.82
Delhi,06-09-2018,130,93.06,200.78,43.68,55.72,1.31,72.97
Delhi,07-09-2018,101,65.85,125.3,34.59,46.0,0.43,73.24
Delhi,08-09-2018,41,32.53,45.07,47.11,46.0,0.43,68.54
Delhi,09-09-2018,157,76.11,174.44,76.43,70.88,1.59,38.0
Delhi,10-09-2018,104,100.19,206.21,47.36,46.0,0.43,60.6
Delhi,11-09-2018,103,78.4,125.91,60.76,113.54,0.58,89.02
Delhi,12-09-2018,41,27.36,53.46,34.0,46.0,1.16,65.11
Delhi,13-09-2018,60,48.07,50.77,34.0,57.74,0.43,62.43
Delhi,14-09-2018,115,83.09,178.44,56.1,62.52,0.71,39.08
Delhi,15-09-2018,82,43.6,74.97,94.57,46.0,1.29,38.0
Delhi,16-09-2018,94,66.63,113.52,82.99,46.0,0.43,38.0
Delhi,17-09-2018,121,73.24,138.17,61.82,63.48,0.59,71.44
Delhi,18-09-2018,63,39.21,75.71,51.04,46.0,0.43,46.98
Delhi,19-09-2018,113,56.56,134.31,82.28,61.25,0.45,38.0
Delhi,20-09-2018,41,22.0,59.53,67.12,54.08,1.43,76.91
Delhi,21-09-2018,41,37.26,66.11,34.0,65.65,1.54,38.0
Delhi,22-09-2018,91,52.7,123.04,34.0,104.61,0.97,38.0
Delhi,23-09-2018,69,32.79,74.33,55.7,46.0,1.11,40.09
Delhi,24-09-2018,104,90.4,158.96,34.0,46.0,1.09,47.67
Delhi,25-09-2018,48,29.15,51.64,34.0,46.0,0.5,63.95
Delhi,26-09-2018,88,48.95,88.56,34.0,51.89,0.96,38.0
Delhi,27-09-2018,99,60.36,129.85,40.85,70.05,0.43,77.76
Delhi,28-09-2018,100,86.58,153.48,40.06,46.0,0.43,64.61
Delhi,29-09-2018,55,29.03,44.0,40.02,70.24,0.8,39.63
Delhi,30-09-2018,132,81.01,212.99,67.88,52.42,0.43,48.51
Delhi,01-10-2018,161,126.7,268.93,96.87,87.43,1.2,104.43
Delhi,02-10-2018,145,106.87,180.23,93.88,135.86,1.48,116.65
Delhi,03-10-2018,213,135.74,275.04,69.77,120.33,2.41,153.0
Delhi,04-10-2018,176,130.48,251.46,129.11,130.18,2.62,104.18
Delhi,05-10-2018,155,114.5,229.29,86.71,109.49,1.82,119.74
Delhi,06-10-2018,164,127.9,247.12,76.32,106.84,2.13,97.54
Delhi,07-10-2018,200,118.79,261.4,108.83,131.22,1.56,128.3
Delhi,08-10-2018,160,128.77,255.03,84.33,119.58,0.81,121.91
Delhi,09-10-2018,212,139.74,263.65,90.35,178.23,1.39,148.24
Delhi,10-10-2018,221,158.22,331.88,109.96,150.46,1.69,94.27
Delhi,11-10-2018,191,101.74,200.31,95.34,142.85,1.91,132.26
Delhi,12-10-2018,242,169.16,325.05,161.29,121.18,1.79,146.6
Delhi,13-10-2018,154,87.46,175.59,101.63,65.72,1.7,104.06
Delhi,14-10-2018,185,123.46,231.77,118.95,102.27,1.55,111.83
Delhi,15-10-2018,181,138.27,262.98,54.96,107.08,2.01,119.77
Delhi,16-10-2018,175,132.12,233.43,81.98,118.25,1.16,109.09
Delhi,17-10-2018,167,114.05,194.15,76.33,125.5,2.24,119.43
Delhi,18-10-2018,164,122.34,202.48,79.64,146.18,1.55,131.84
Delhi,19-10-2018,192,116.64,179.86,113.89,134.69,2.87,112.15
Delhi,20-10-2018,213,114.71,191.56,129.39,161.28,1.68,111.96
Delhi,21-10-2018,201,143.49,267.41,112.12,117.14,1.6,121.67
Delhi,22-10-2018,201,133.64,257.01,97.83,134.21,1.56,105.02
Delhi,23-10-2018,173,112.64,205.88,87.73,136.82,1.6,106.26
Delhi,24-10-2018,156,144.49,203.86,131.34,133.87,2.14,92.53
Delhi,25-10-2018,224,132.65,299.26,155.28,164.96,1.82,113.95
Delhi,26-10-2018,225,142.76,303.83,106.88,150.61,2.33,126.19
Delhi,27-10-2018,183,139.09,277.65,126.98,86.92,2.07,108.27
Delhi,28-10-2018,156,109.92,266.07,112.08,123.07,1.86,95.66
Delhi,29-10-2018,179,115.3,189.74,122.39,126.08,2.03,112.59
Delhi,30-10-2018,248,141.45,325.38,74.39,191.05,2.44,124.93
Delhi,31-10-2018,185,138.71,234.59,91.3,116.61,2.17,118.2
Delhi,01-11-2018,281,192.08,372.12,167.39,163.03,2.94,230.74
Delhi,02-11-2018,319,194.85,331.99,187.81,205.65,3.01,158.59
Delhi,03-11-2018,314,218.05,414.74,137.05,207.41,2.22,171.24
Delhi,04-11-2018,259,180.67,354.86,106.67,190.29,4.09,194.48
Delhi,05-11-2018,280,203.44,381.9,145.04,185.89,3.06,157.63
Delhi,06-11-2018,330,188.46,379.48,182.75,220.97,3.11,223.21
Delhi,07-11-2018,258,188.15,360.45,117.9,166.89,2.79,175.12
Delhi,08-11-2018,276,214.48,391.83,128.08,182.27,1.65,189.03
Delhi,09-11-2018,303,209.01,380.11,161.4,176.84,2.67,175.48
Delhi,10-11-2018,306,208.77,420.99,154.6,225.32,2.84,200.47
Delhi,11-11-2018,309,218.61,395.75,172.36,201.06,2.39,148.43
Delhi,12-11-2018,282,192.92,394.01,126.78,160.55,2.38,214.3
Delhi,13-11-2018,296,206.14,428.35,149.38,163.56,2.63,180.79
Delhi,14-11-2018,300,186.29,303.9,187.38,248.7,3.19,191.46
Delhi,15-11-2018,282,198.98,412.06,127.68,225.0,3.43,156.54
Delhi,16-11-2018,308,189.9,422.62,194.42,217.75,2.89,183.43
Delhi,17-11-2018,269,194.44,377.0,130.81,192.87,2.52,150.8
Delhi,18-11-2018,333,204.4,406.34,178.73,237.75,2.62,204.39
Delhi,19-11-2018,264,176.14,365.77,148.18,159.4,2.85,142.75
Delhi,20-11-2018,350,234.35,437.0,128.88,215.09,2.91,178.85
Delhi,21-11-2018,255,172.38,332.99,145.08,179.2,3.02,165.29
Delhi,22-11-2018,248,168.22,280.18,171.12,185.03,2.58,135.93
Delhi,23-11-2018,327,215.66,413.92,157.33,214.27,3.06,151.62
Delhi,24-11-2018,295,208.33,410.78,185.46,188.19,3.03,186.24
Delhi,25-11-2018,323,204.98,404.95,193.39,179.46,2.6,152.59
Delhi,26-11-2018,286,205.07,421.59,127.92,177.65,1.94,158.27
Delhi,27-11-2018,266,192.26,342.04,126.09,132.91,2.36,184.33
Delhi,28-11-2018,275,174.55,315.68,124.88,215.4,3.58,197.87
Delhi,29-11-2018,281,194.02,425.5,135.02,162.3,1.95,191.52
Delhi,30-11-2018,275,178.96,335.51,185.11,248.25,3.46,173.84
Delhi,01-12-2018,286,203.75,393.13,164.76,175.62,1.82,172.94
Delhi,02-12-2018,236,181.31,342.48,137.12,223.53,2.29,170.47
Delhi,03-12-2018,218,167.74,294.06,150.47,129.98,2.49,141.59
Delhi,04-12-2018,292,177.82,386.57,185.86,206.19,3.57,174.49
Delhi,05-12-2018,310,192.51,349.94,198.45,213.91,2.69,141.37
Delhi,06-12-2018,280,172.98,294.83,157.23,223.36,2.57,182.86
Delhi,07-12-2018,243,167.81,305.31,84.27,138.41,2.21,170.88
Delhi,08-12-2018,236,189.12,299.28,158.18,163.17,2.94,113.39
Delhi,09-12-2018,281,189.15,339.85,174.12,201.55,2.42,191.98
Delhi,10-12-2018,240,174.11,301.77,156.37,188.7,2.57,154.45
Delhi,11-12-2018,266,174.83,350.7,168.91,193.05,2.5,152.38
Delhi,12-12-2018,290,188.89,338.69,159.68,173.44,3.04,191.4
Delhi,13-12-2018,262,155.29,321.68,119.88,230.77,3.06,163.42
Delhi,14-12-2018,274,156.1,338.55,128.59,262.5,2.23,182.44
Delhi,15-12-2018,236,169.88,346.21,142.72,187.37,2.37,151.17
Delhi,16-12-2018,254,179.98,335.5,177.39,197.85,2.32,187.59
Delhi,17-12-2018,298,190.47,366.12,131.6,185.94,2.77,172.43
Delhi,18-12-2018,324,213.76,360.39,162.15,222.77,3.13,177.62
Delhi,19-12-2018,292,201.4,378.65,158.34,209.12,2.78,163.04
Delhi,20-12-2018,255,181.05,318.18,190.4,152.26,1.58,208.24
Delhi,21-12-2018,296,183.87,370.18,149.71,165.87,3.06,214.26
Delhi,22-12-2018,255,164.2,389.16,106.88,153.97,2.01,112.41
Delhi,23-12-2018,294,183.88,364.37,166.92,265.09,2.32,190.66
Delhi,24-12-2018,249,178.48,279.37,204.2,203.31,2.78,140.51
Delhi,25-12-2018,293,190.7,351.5,168.56,166.38,2.64,180.24
Delhi,26-12-2018,247,167.71,322.31,131.06,163.98,3.12,123.06
Delhi,27-12-2018,256,194.64,372.43,123.7,208.41,2.37,177.58
Delhi,28-12-2018,278,214.9,386.39,126.93,211.4,2.2,146.59
Delhi,29-12-2018,271,182.07,353.3,200.83,208.19,2.52,156.03
Delhi,30-12-2018,293,192.28,328.07,142.57,171.48,3.17,156.7
Delhi,31-12-2018,267,198.05,347.95,134.18,193.43,2.99,149.14
Delhi,01-01-2019,260,167.98,338.53,140.04,179.33,2.6,142.31
